t=2026-03-31T11:11:06+0200 lvl=info msg="no configuration paths supplied"
t=2026-03-31T11:11:06+0200 lvl=info msg="using configuration at default config path" path="/Users/tychiqueesteve/Library/Application Support/ngrok/ngrok.yml"
t=2026-03-31T11:11:06+0200 lvl=info msg="open config file" path="/Users/tychiqueesteve/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-03-31T11:11:06+0200 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-03-31T11:11:06+0200 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-03-31T11:11:06+0200 lvl=info msg="client session established" obj=tunnels.session
t=2026-03-31T11:11:06+0200 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-03-31T11:11:07+0200 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://houndy-altha-clearstoried.ngrok-free.dev
t=2026-03-31T11:11:10+0200 lvl=info msg="update available" obj=updater
t=2026-03-31T11:13:09+0200 lvl=info msg="join connections" obj=join id=1c7ba8fa43f5 l=[::1]:3000 r=176.133.235.172:58732
t=2026-03-31T11:13:10+0200 lvl=info msg="join connections" obj=join id=7e220fa51985 l=[::1]:3000 r=176.133.235.172:58732
t=2026-03-31T11:13:10+0200 lvl=info msg="join connections" obj=join id=c6b476d57c4f l=[::1]:3000 r=176.133.235.172:58732
t=2026-03-31T11:13:10+0200 lvl=info msg="join connections" obj=join id=0c4536239e8c l=[::1]:3000 r=176.133.235.172:58732
t=2026-03-31T11:13:10+0200 lvl=info msg="join connections" obj=join id=00cfb25629f9 l=[::1]:3000 r=176.133.235.172:58732
t=2026-03-31T11:13:10+0200 lvl=info msg="join connections" obj=join id=3f2eb43f375c l=[::1]:3000 r=176.133.235.172:58732
t=2026-03-31T11:13:10+0200 lvl=info msg="join connections" obj=join id=a00ce34ab4e6 l=[::1]:3000 r=176.133.235.172:58732
t=2026-03-31T11:13:10+0200 lvl=info msg="join connections" obj=join id=71525d483688 l=[::1]:3000 r=176.133.235.172:58732
t=2026-03-31T11:13:10+0200 lvl=info msg="join connections" obj=join id=0dc58b1d1593 l=[::1]:3000 r=176.133.235.172:58732
t=2026-03-31T11:13:10+0200 lvl=info msg="join connections" obj=join id=1bfcf7458e6c l=[::1]:3000 r=176.133.235.172:58732
t=2026-03-31T11:13:10+0200 lvl=info msg="join connections" obj=join id=23a07aaa2e9d l=[::1]:3000 r=176.133.235.172:58732
t=2026-03-31T11:13:10+0200 lvl=info msg="join connections" obj=join id=16184004cebd l=[::1]:3000 r=176.133.235.172:58732
t=2026-03-31T11:13:10+0200 lvl=info msg="join connections" obj=join id=7bfd410577af l=[::1]:3000 r=176.133.235.172:58732
t=2026-03-31T11:13:10+0200 lvl=info msg="join connections" obj=join id=6437de196b9c l=[::1]:3000 r=176.133.235.172:58732
t=2026-03-31T11:13:10+0200 lvl=info msg="join connections" obj=join id=edc64f07de5f l=[::1]:3000 r=176.133.235.172:58732
t=2026-03-31T11:13:10+0200 lvl=info msg="join connections" obj=join id=92a372644dac l=[::1]:3000 r=176.133.235.172:58732
t=2026-03-31T11:13:10+0200 lvl=info msg="join connections" obj=join id=d62d33f98df8 l=[::1]:3000 r=176.133.235.172:58732
